"symbol","title","url","date","content","author","publish_time"
"CX8","CX8: Báo cáo tài chính quý 1/2025","https://vietstock.vn/2025/04/cx8-bao-cao-tai-chinh-quy-1-2025-737-1297565.htm","18/04/2025","CX8: Báo cáo tài chính quý 1/2025","",""
"CX8","CX8: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/04/cx8-ngay-dang-ky-cuoi-cung-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1297546.htm","18/04/2025","CX8: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025
Thông báo ngày đăng ký cuối cùng lập danh sách cổ đông đối với cổ phiếuCX8của CTCP Đầu tư và Xây lắp Constrexim số 8 như sau:1. Ngày đăng ký cuối cùng: 06/05/20252. Ngày giao dịch không hưởng quyền: 05/05/20253. Lý do và mục đích:* Đại hội đồng cổ đông thường niên năm 2025- Tỷ lệ phân bổ quyền: 1 cổ phiếu – 1 quyền biểu quyết- Thời gian họp: 05/06/2025- Địa điểm tổ chức họp: Phòng họp trụ sở chính Công ty cổ phần đầu tư và xây lắp Constrexim số 8; Tầng 16 Toà nhà Constrexim số 8. km8 đường Nguyễn Trãi – C7 phường Thanh Xuân Bắc, quận Thanh Xuân, TP. Hà Nội.- Nội dung họp: + Báo cáo của Hội đồng quản trị, Ban Kiểm soát, Ban điều hành Công ty;+ Báo cáo tài chính năm 2024 đã được kiểm toán;+ Phân phối lợi nhuận năm 2024;+ Kế hoạch sản xuất kinh doanh năm 2025;+ Lựa chọn đơn vị kiểm toán cho năm tài chính 2025;+ Một số vấn đề khác thuộc thẩm quyền của ĐHĐCĐ công ty.","",""
"CX8","""Thuyền trưởng"" bền bỉ: Lợi thế hay rủi ro trong kỷ nguyên biến động?","https://vietstock.vn/2025/04/thuyen-truong-ben-bi-loi-the-hay-rui-ro-trong-ky-nguyen-bien-dong-214-1291876.htm","15/04/2025","""Thuyền trưởng"" bền bỉ: Lợi thế hay rủi ro trong kỷ nguyên biến động?
Giữa ""cơn lốc"" biến động thị trường và làn sóng thay đổi nhân sự, nhiều doanh nghiệp Việt có bộ máy lãnh đạo cấp cao ""bất biến"" suốt hơn 1 thập niên. Liệu sự ổn định này có đồng nghĩa với tăng trưởng dài hạn, hay chỉ là dấu hiệu của tư duy trì trệ?
Dữ liệu từVietstockFinancecho thấy, 9 doanh nghiệp niêm yết trên sànHOSE,HNXvà giao dịch trên hệ thống UPCoM, vẫn kiên định với Chủ tịch và Tổng Giám đốc (CEO) nắm quyền hơn 15 năm. Điều gì đã tạo nên sự ổn định này và nó mang lại lợi ích gì cho doanh nghiệp trong bối cảnh kinh tế đầy thách thức?
Khử trùng Việt Nam (VFG), thành viên của Tập đoànPAN, doanh nghiệp hàng đầu trong ngành nông dược đã duy trì bộ máy lãnh đạo ổn định. BàNguyễn Bạch Tuyết, ""nữ tướng"" thuộc thế hệ U90, đã giữ chức Chủ tịch HĐQTVFGtừ năm 2001 và từng đồng thời đảm nhiệm vị tríCEOtừ năm 2001-2009. Người kế nhiệm bà Tuyết ở vị tríCEOlà ôngTrương Công Cứ, cả 2 nhà lãnh đạo này đã gắn bó vớiVFGhơn 16 năm qua.
Sự ổn định của bộ máy lãnh đạo đã góp phần tạo nên tăng trưởng bền vững choVFG. Bình quân 5 năm qua, doanh thu hơn 2,739 tỷ đồng/năm, tỷ lệ tăng trưởng kép (CAGR) đạt 16.7%; lãi ròng gần 265 tỷ đồng/năm. Kết quả này phần nào đến từ việc hợp tác chiến lược với Tập đoàn Syngenta (Thụy Sĩ) vào năm 2022,VFGmở rộng mảng nông dược, doanh thu và lợi nhuận bứt phá mạnh mẽ.
Đây cũng là cơ sở đểVFGduy trì chính sách cổ tức hấp dẫn từ 25-35% bằng tiền mỗi năm. Đặc biệt, thu nhập của lãnh đạoVFGgây ấn tượng mạnh mẽ. Trong quý 1/2024, Chủ tịchNguyễn Bạch Tuyếtnhận tổng thu nhập 22.35 tỷ đồng (tương đương 7.45 tỷ đồng/tháng), cao hơn cả năm 2023.CEOTrương Công Cứnhận 20.54 tỷ đồng, bình quân 6.85 tỷ đồng/tháng.
NgoàiVFG, các doanh nghiệp khác nhưCX8, Vinacontrol (VNC), Transimex (TMS), Sơn Đông Á (HDA),ONE,CMS, Trường Long (HTL) và KIDO (KDC) cũng có Chủ tịch vàCEOgắn bó trên 15 năm. Tuy nhiên, kết quả kinh doanh của các doanh nghiệp này lại không đồng đều.
Trong ngành xây dựng,CTCP Đầu tư và Xây lắp Constrexim số 8 (CX8)duy trì lãnh đạo ổn định với Chủ tịch HĐQT Vũ Đức Tiền vàCEOVũ Duy Hậutại vị từ năm 2010 - thời điểm công ty niêm yết trên sànHNX. Dù doanh thu trung bình 5 năm đạt 78.1 tỷ đồng và tỷ lệ CAGR 16.1%, nhưng lợi nhuận ròng chỉ vỏn vẹn 301 triệu đồng mỗi năm, phản ánh biên lợi nhuận thấp và áp lực chi phí cao trong ngành.
Vinacontrol (VNC), doanh nghiệp giám định lâu đời nhất Việt Nam, Chủ tịch HĐQTBùi Duy ChinhvàCEOMai Tiến Dũnggiữ chức vụ từ năm 2005. Sau khi mất thế độc quyền trong ngành giám định, biên lãi gộp củaVNCgiảm mạnh từ 43.4% năm 2005 xuống còn 20-22% trong giai đoạn 2010-2024. Tuy nhiên, doanh thu trung bình 5 năm qua củaVNCvẫn đạt gần 667 tỷ đồng, lãi ròng trung bình năm khoảng 35 tỷ đồng, phần nào phản ánh chiến lược phát triển ổn định dù không còn vị thế áp đảo.
Transimex (TMS)là doanh nghiệp logistics có quy mô doanh thu lớn trong danh sách khảo sát, với mức trung bình 5 năm hơn 3.8 ngàn tỷ đồng, tuy nhiên, CAGR âm 0.7%. Lãi ròng trung bình 5 năm qua đạt gần 375 tỷ đồng/năm, phần lớn nhờ vào giai đoạn ""hoàng kim"" của ngành vận tải biển từ cuối năm 2020 đến năm 2021. Transimex từng đạt đỉnh 661 tỷ đồng lợi nhuận năm 2022, trước khi giảm mạnh xuống 137 tỷ đồng năm 2023 và 192 tỷ đồng năm 2024, trong bối cảnh chi phí nhiên liệu tăng và cạnh tranh gay gắt.
Ban lãnh đạoTMSgồm Chủ tịch HĐQTBùi Tuấn NgọcvàCEOLê Duy Hiệpđã gắn bó từ năm 2008. Trong lần chia sẻ với truyền thông, ông Ngọc đã nhấn mạnh rằng, môi trường kinh doanh luôn đầy rẫy những thách thức và biến động; để tồn tại và phát triển trong những giai đoạn khó khăn, doanh nghiệp cần phải linh hoạt thích ứng với sự thay đổi của thị trường.
Nói về chiến lược, ông Ngọc cho biết: Transimex vẫn đang tìm kiếm cơ hội M&A để mở rộng hệ sinh thái logistics.""Chúng tôi đi tìm từng mảnh ghép để tăng cường sức mạnh cho cả nhóm Công ty"",ông Ngọc nói.
Trong khi đó, dù bộ máy lãnh đạo tương đối ổn định,HDA(ngành sơn),ONE(ngành viễn thông) vàCMS(ngành xây dựng) đều ghi nhận tỷ lệ CAGR doanh thu 5 năm ở mức âm, lần lượt -0.5%, -2.2% và -7.7%. Lợi nhuận ròng trung bình mỗi năm chỉ vài tỷ đồng, không có nhiều cải thiện.
HTLvàKDClà 2 ví dụ về doanh nghiệp có những người đứng đầu có quan hệ gia đình, đồng thời nắm giữ tỷ lệ sở hữu lớn tại doanh nghiệp.
Trường Long (HTL)hoạt động trong lĩnh vực ô tô, ghi nhận tỷ lệ tăng trưởng CAGR doanh thu 5 năm giảm sâu nhất trong nhóm khảo sát, ở mức âm 11.6%. Tuy nhiên, lãi ròng trung bình 5 năm củaHTLvẫn duy trì tương đối ổn định khoảng 30 tỷ đồng, cho thấy khả năng kiểm soát chi phí hiệu quả.
Cuối năm 2024,HTLbắt tay với Tập đoàn Topre - một tên tuổi hàng đầu trong lĩnh vực xe đông lạnh với hơn 50% thị phần tại Nhật Bản. BàNguyễn Thị Kiều Diễm- Chủ tịch HĐQTHTLkhẳng định:""Đây là bước đi chiến lược nhằm phát triển mảng xe tải đông lạnh tại Việt Nam, cung cấp các giải pháp vận tải hiện đại và bền vững"".
Điều đặc biệt tạiHTLlà những người đứng đầu có quan hệ gia đình, gồm Chủ tịchNguyễn Thị Kiều Diễmvà Tổng Giám đốcLã Văn Trường Sơn(chồng bà Diễm) đã cùng điều hành Công ty hơn 15 năm qua qua và là nhóm cổ đông lớn nhất củaHTL. Bà Diễm sở hữu 25.32% vốn và ông Sơn năm 30.08%.
HTLcòn nổi tiếng với lịch sử chia cổ tức tiền mặt đều đặn từ năm 2010. Tỷ lệ năm 2023 đạt 50% và tiếp tục tăng lên 65% vào năm 2024, đem lại phần lợi nhuận đáng kể cho vợ chồng Chủ tịch.
Tương tự,KIDO (KDC)cũng là doanh nghiệp do hai anh em ruột lãnh đạo gần 20 năm qua, gồm Chủ tịch HĐQTTrần Kim Thànhvà Phó Chủ tịch HĐQT kiêm Tổng Giám đốcTrần Lệ Nguyên. Tính đến cuối năm 2024, cá nhân ông Thành nắm giữ 0.31% cổ phầnKDC, còn ông Nguyên sở hữu 12.74%.
Là tập đoàn sản xuất hàng tiêu dùng lớn, doanh thu 5 năm qua của KIDO đạt bình quân gần 9.7 ngàn tỷ đồng/năm, cao nhất trong nhóm khảo sát. Tuy nhiên, tỷ lệ CAGR doanh thu 5 năm chỉ ở mức 0.02%. Doanh thu từng đạt đỉnh hơn 12.5 ngàn tỷ đồng năm 2022 nhưng sau đó giảm dần. Cùng giai đoạn, lợi nhuận ròng trung bình hơn 267 tỷ đồng/năm; song năm 2024, lãi ròng tụt dốc còn hơn 36 tỷ đồng, mức thấp nhất lịch sử, trừ khoản lỗ 85 tỷ đồng năm 2008.
Chiến lược phát triển của KIDO chủ yếu xoay quanh M&A.CEOTrần Lệ Nguyêntừng chia sẻ:""Việc mở rộng sang nhiều ngành hàng khác nhau là để xây dựng một hệ sinh thái gắn bó, thay vì chỉ tập trung vào 1 mặt hàng"". Ông cho rằng, thương vụ mua lại công ty kem từ một tập đoàn đa quốc gia của KIDO đã nhanh chóng mang lại lợi nhuận nhờ am hiểu khẩu vị và nắm bắt thị hiếu tiêu dùng Việt Nam.
Đây cũng là lý do khiến KIDO quyết định bán mảng bánh kẹo chủ lực năm 2014 để tập trung vào thực phẩm thiết yếu như kem, dầu ăn và gia vị. TheoChủ tịchTrần Kim Thành, dù trong khủng hoảng tài chính hay đại dịch, thực phẩm thiết yếu vẫn có nhu cầu bền vững. Ông cũng nhấn mạnh rằng, KIDO đã xây dựng được các kênh bán hàng hiệu quả và duy trì vị thế đầu ngành thực phẩm trong nhiều năm, ngay cả trong giai đoạn COVID-19. Tuy nhiên, thị trường những năm gần đây gặp nhiều khó khăn, KIDO phải đẩy mạnh khai thác ở vùng sâu, vùng xa để duy trì doanh số, khiến khối lượng công việc của nhân sự tăng gấp nhiều lần.
Nhìn chung, sự ổn định của bộ máy lãnh đạo cấp cao mang lại nhiều lợi ích như đảm bảo chiến lược nhất quán, tạo dựng niềm tin cho cổ đông và xây dựng một văn hóa doanh nghiệp vững chắc, nhưng không phải là bảo chứng tuyệt đối cho sự tăng trưởng bền vững, đặc biệt là trong bối cảnh thị trường luôn biến động. Quan trọng không phải là gắn bó bao lâu, mà là khả năng thích nghi và đổi mới của ban lãnh đạo để giúp doanh nghiệp tiếp tục tăng trưởng bền vững.","Thế Mạnh","07:59 15/04/2025"
"CX8","CX8: Báo cáo thường niên 2024","https://vietstock.vn/2025/04/cx8-bao-cao-thuong-nien-2024-737-1294626.htm","11/04/2025","CX8: Báo cáo thường niên 2024","",""
"CX8","CX8: Thông báo về ngày đăng ký cuối cùng để thực hiện quyền tham dự Đại hội đồng cổ đông thường niên 2025","https://vietstock.vn/2025/04/cx8-thong-bao-ve-ngay-dang-ky-cuoi-cung-de-thuc-hien-quyen-tham-du-dai-hoi-dong-co-dong-thuong-nien-2025-737-1294563.htm","11/04/2025","CX8: Thông báo về ngày đăng ký cuối cùng để thực hiện quyền tham dự Đại hội đồng cổ đông thường niên 2025
.","",""
"CX8","CX8: Báo cáo tài chính năm 2024","https://vietstock.vn/2025/04/cx8-bao-cao-tai-chinh-nam-2024-737-1291018.htm","03/04/2025","CX8: Báo cáo tài chính năm 2024","",""
"CX8","CX8: Báo cáo quản trị công ty năm 2024","https://vietstock.vn/2025/01/cx8-bao-cao-quan-tri-cong-ty-nam-2024-737-1266289.htm","24/01/2025","CX8: Báo cáo quản trị công ty năm 2024","",""
"CX8","CX8: Báo cáo tài chính quý 4/2024","https://vietstock.vn/2025/01/cx8-bao-cao-tai-chinh-quy-4-2024-737-1264984.htm","22/01/2025","CX8: Báo cáo tài chính quý 4/2024","",""
"CX8","CX8: Ngày đăng ký cuối cùng trả cổ tức bằng tiền mặt","https://vietstock.vn/2024/12/cx8-ngay-dang-ky-cuoi-cung-tra-co-tuc-bang-tien-mat-737-1249732.htm","03/12/2024","CX8: Ngày đăng ký cuối cùng trả cổ tức bằng tiền mặt
Thông báo ngày đăng ký cuối cùng lập danh sách cổ đông đối với cổ phiếuCX8của CTCP Đầu tư và Xây lắp Constrexim số 8 như sau:1. Ngày đăng ký cuối cùng: 20/12/20242. Ngày giao dịch không hưởng quyền: 19/12/20243. Lý do và mục đích:* Trả cổ tức bằng tiền:- Hình thức trả: Trả cổ tức bằng tiền năm 2023- Tỷ lệ thực hiện: 1%/cổ phiếu (01 cổ phiếu được nhận 100 đồng)- Thời gian thực hiện: 09/01/2025- Địa điểm thực hiện:+ Chứng khoán chưa lưu ký: Người sở hữu làm thủ tục nhận cổ tức tại: phòng Tài chính Kế toán công ty, địa chỉ: Tầng 16 tòa nhà Constrexim 8 – C7 Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội vào các ngày làm việc trong tuần (09h ÷ 11h và 14h ÷ 16h) bắt đầu từ ngày 09/01/2025 và xuất trình Chứng minh nhân dân/Căn cước công dân.+ Chứng khoán lưu ký: Người sở hữu làm thủ tục nhận cổ tức tại các Thành viên lưu ký (TVLK) nơi mở tài khoản lưu ký.","",""
"CX8","CX8: Thông báo ngày đăng ký cuối cùng quyền nhận cổ tức năm 2023 băng tiền mặt","https://vietstock.vn/2024/11/cx8-thong-bao-ngay-dang-ky-cuoi-cung-quyen-nhan-co-tuc-nam-2023-bang-tien-mat-737-1248580.htm","28/11/2024","CX8: Thông báo ngày đăng ký cuối cùng quyền nhận cổ tức năm 2023 băng tiền mặt
.","",""
