"symbol","title","url","date","content","author","publish_time"
"ALT","ALT: Nghị quyết Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/04/alt-nghi-quyet-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1302908.htm","28/04/2025","ALT: Nghị quyết Đại hội đồng cổ đông thường niên năm 2025","",""
"ALT","ALT: Biện pháp và lộ trình khắc phục tình trạng cổ phiếu bị đưa vào diện cảnh báo","https://vietstock.vn/2025/04/alt-bien-phap-va-lo-trinh-khac-phuc-tinh-trang-co-phieu-bi-dua-vao-dien-canh-bao-830-1297545.htm","18/04/2025","ALT: Biện pháp và lộ trình khắc phục tình trạng cổ phiếu bị đưa vào diện cảnh báo
.","",""
"ALT","ALT: Báo cáo thường niên 2024","https://vietstock.vn/2025/04/alt-bao-cao-thuong-nien-2024-737-1297040.htm","17/04/2025","ALT: Báo cáo thường niên 2024","",""
"ALT","ALT: Quyết định đưa vào diện bị cảnh báo và Thông báo tình trạng chứng khoán của cổ phiếu ALT","https://vietstock.vn/2025/04/alt-quyet-dinh-dua-vao-dien-bi-canh-bao-va-thong-bao-tinh-trang-chung-khoan-cua-co-phieu-alt-830-1290561.htm","03/04/2025","ALT: Quyết định đưa vào diện bị cảnh báo và Thông báo tình trạng chứng khoán của cổ phiếu ALT","",""
"ALT","ALT: Tài liệu họp Đại hội đồng cổ đông","https://vietstock.vn/2025/04/alt-tai-lieu-hop-dai-hoi-dong-co-dong-737-1290130.htm","02/04/2025","ALT: Tài liệu họp Đại hội đồng cổ đông","",""
"ALT","ALT: Báo cáo tài chính năm 2024","https://vietstock.vn/2025/04/alt-bao-cao-tai-chinh-nam-2024-737-1288699.htm","01/04/2025","ALT: Báo cáo tài chính năm 2024","",""
"ALT","ALT: Báo cáo tài chính năm 2024 (Công ty mẹ)","https://vietstock.vn/2025/04/alt-bao-cao-tai-chinh-nam-2024-cong-ty-me-737-1288683.htm","01/04/2025","ALT: Báo cáo tài chính năm 2024 (Công ty mẹ)","",""
"ALT","ALT: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/03/alt-ngay-dang-ky-cuoi-cung-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1282027.htm","17/03/2025","ALT: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025
Thông báo ngày đăng ký cuối cùng lập danh sách cổ đông đối với cổ phiếuALTcủa CTCP Văn hóa Tân Bình như sau:1. Ngày đăng ký cuối cùng: 01/04/20252. Ngày giao dịch không hưởng quyền: 31/03/20253. Lý do và mục đích:* Đại hội đồng cổ đông thường niên năm 2025- Tỷ lệ phân bổ quyền: 1:1 (01 cổ phiếu - 01 quyền biểu quyết)- Thời gian họp: 21/04/2025- Địa điểm tổ chức họp: Trung Tâm Hội nghị tiệc cưới Queen Plaza Tân Bình. Địa chỉ: 91B2 Phạm Văn Hai, Phường 3. Quận Tân Bình, Thành phố Hồ Chí  Minh.- Nội dung họp: Đại hội cổ đông thường niên năm 2025","",""
"ALT","ALT: Thông báo về ngày đăng ký cuối cùng chốt sổ tham dự ĐHCĐ Thường niên năm 2025","https://vietstock.vn/2025/03/alt-thong-bao-ve-ngay-dang-ky-cuoi-cung-chot-so-tham-du-dhcd-thuong-nien-nam-2025-737-1280474.htm","12/03/2025","ALT: Thông báo về ngày đăng ký cuối cùng chốt sổ tham dự ĐHCĐ Thường niên năm 2025
.","",""
"ALT","ALT: Báo cáo quản trị công ty năm 2024","https://vietstock.vn/2025/02/alt-bao-cao-quan-tri-cong-ty-nam-2024-737-1270027.htm","07/02/2025","ALT: Báo cáo quản trị công ty năm 2024","",""
"ALT","ALT: Báo cáo tài chính quý 4/2024","https://vietstock.vn/2025/02/alt-bao-cao-tai-chinh-quy-4-2024-737-1269565.htm","06/02/2025","ALT: Báo cáo tài chính quý 4/2024","",""
